Xa1,Xb1,Xc1,Xd1,Ya1,Yb1,Yc1,Yd1,Time
7129.739609,265.596344,10.271706,1775.497570,8017.832118,75.438645,10.273048,2727.882262,17:42:31
7119.863968,265.595986,10.312035,1760.400855,8030.147408,75.398718,10.287744,2703.696154,17:42:37
7108.051233,265.622551,10.289276,1764.316581,8021.596695,75.464215,10.275400,2709.156892,17:43:23
7106.947631,265.605628,10.303265,1767.261660,8011.313773,75.420276,10.296590,2713.965876,17:43:36
7121.335270,265.565028,10.340098,1782.483893,8050.333614,75.438758,10.331972,2735.916771,17:43:40
7052.024321,265.653457,10.385224,1767.166828,8028.212553,75.419553,10.253468,2715.155220,17:43:52
7118.877826,265.650545,10.248462,1750.208629,7989.993627,75.411999,10.297299,2686.740704,17:43:53
7131.349752,265.677593,10.305234,1764.447824,8020.279799,75.459625,10.357111,2707.269284,17:43:54
7038.572759,265.631552,10.403788,1746.508009,8015.368977,75.479767,10.228992,2684.959107,17:44:06
7048.457401,265.618703,10.381145,1757.749159,7999.255130,75.437108,10.252248,2702.083774,17:45:03
7041.752667,265.626605,10.366572,1744.192542,8009.001696,75.468646,10.215592,2680.904463,17:45:06
7089.624402,265.564031,10.381186,1757.236151,8055.374832,75.477345,10.261034,2699.689408,17:45:40
7058.196784,265.589613,10.409260,1766.632136,8039.532921,75.433476,10.253812,2715.148555,17:45:42
6958.549017,265.583746,10.550700,1744.512384,8042.881522,75.547690,10.161738,2685.081804,17:45:46
7077.552469,265.599335,10.320623,1753.139466,8003.141216,75.436593,10.274580,2692.323967,17:46:59
7116.822607,265.630859,10.261880,1762.516123,7995.762829,75.443961,10.357661,2702.713028,17:47:02
7090.735916,265.575272,10.346092,1765.706487,8054.744264,75.453483,10.260155,2711.394377,17:47:13
7069.578710,265.608368,10.313369,1749.961725,8003.901517,75.433450,10.266063,2686.791073,17:47:14
7098.632532,265.594746,10.317750,1763.992391,8017.459803,75.482796,10.290185,2708.858740,17:47:23
7164.341781,265.602507,10.197582,1766.844693,7997.964795,75.434777,10.330169,2711.152790,17:47:24
7090.060503,265.564156,10.261022,1762.387339,8005.891703,75.478964,10.222559,2707.566155,17:53:25
7065.837839,265.584873,10.304090,1760.650765,8020.374917,75.438951,10.231525,2703.640391,17:53:28
